benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",235,4693001,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",233,4693001
11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",38,275383,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",38,275383
17212077.sl,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",120,1800363,Success,"concat(concat(0.IntToStr(), _arg_0.CharAt(1)), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length())))",114,1800363
2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",10,15419,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",10,15419
25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",12,45065,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",12,45065
28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3,5697,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",5,5697
30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,((-1 - (1 + 1)) * (1 + 1))) else _arg_0)",133,1716446,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,((-1 - (1 + 1)) * (1 + 1))) else _arg_0)",134,1716446
31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",407,15202192,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",394,15202192
33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",4176,79760681,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",3984,79760681
34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6,15523,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6,15523
35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2285,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2285
35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",96,2605301,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",95,2605301
36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",27,126502,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",26,126502
37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2,1968,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1,1968
38664547.sl,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",12,24408,Success,"_arg_0.replace(""that"".lower().replace(_arg_0.lower(), """"), """")",11,24408
38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",472,14495504,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",467,14495504
39060015.sl,Success,"concat(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)).lower().replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """"), _arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").replace(_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """").Substr(0,1), (ifEqual("""",_arg_0.Substr((-1 - _arg_0.IndexOf(""/"")),-1).replace(""/"", _arg_0.Substr(1,_arg_0.IndexOf(""/""))).replace("" "", """")) then """" else _arg_0).Substr(0,1)))",25697,1121615339,Fail,None,3600,100000000
41503046.sl,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",20,48102,Success,"_arg_0.Substr(0,_arg_0.IndexOf("" "",(""ssp."".Length() + ""ssp."".Length())))",19,48102
43120683.sl,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4948,148936795,Success,"_arg_0.replace("","", """").replace(""1"", ""apple"").replace(""2"", ""bananas"").replace(""3"", ""strawberries"").replace(""4"", ""oranges"")",4874,148936795
43606446.sl,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2,3262,Success,"_arg_0.Substr((-1 - ((1 + 1) + 1)),-1)",2,3262
add-a-line-break-with-a-formula.sl,Success,"concat(concat(concat(_arg_0, concat(""/n"", _arg_1)), ""/n""), _arg_2)",3,7403,Success,"concat(concat(concat(_arg_0, concat(""/n"", _arg_1)), ""/n""), _arg_2)",3,7403
bikes.sl,Success,"name.Substr(0,(0 - 3))",1,3625,Success,"name.Substr(0,(0 - 3))",1,3625
change-negative-numbers-to-positive.sl,Success,"_arg_0.replace(""-"", """")",0,301,Success,"_arg_0.replace(""-"", """")",0,301
clean-and-reformat-telephone-numbers.sl,Success,"_arg_0.replace(""."", """").replace(""."", """").replace(""-"", """").replace(""<"", """").replace("" "", """").replace("">"", """").replace(""-"", """")",6311,349947887,Fail,None,3600,100000000
