benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",153,2642790,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",147,2642790
11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",29,235266,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",31,235266
17212077.sl,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",149,2663029,Success,"concat(0.IntToStr(), concat(_arg_0.CharAt(1), concat(""/"", _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))))",150,2663029
2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7,9522,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7,9522
25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",18,92913,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",18,92913
28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3,4580,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",3,4580
30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",39,242648,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",41,242648
31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",570,22448199,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",566,22448199
33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",1037,17539994,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",1021,17539994
34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7,13217,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",6,13217
35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",3,7541,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",3,7541
35744094.sl,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",62,1243432,Success,"(if_arg_0.Contain(""microsoft"") then (if_arg_0.Contain(""windows"") then ""windows"" else ""microsoft"") else ""mac"")",60,1243432
36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",17,119260,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",17,119260
37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),1,1774,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),3,1774
38664547.sl,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",15,33759,Success,"_arg_0.replace(""that"", (ifEqual(""that"",_arg_0) then ""that"" else """"))",14,33759
38871714.sl,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",324,8333011,Success,"_arg_0.replace(""<"", """").replace("">"", """").replace(""<"", """").replace(""<"", """").replace("">"", """").replace("">"", """")",315,8333011
