benchmark,ags_bee_search_result,ags_bee_search_program,ags_bee_search_time,ags_bee_search_evaluations,bee_search_result,bee_search_program,bee_search_time,bee_search_evaluations
11440431.sl,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",154,3037523,Success,"_arg_0.Substr(0,(_arg_0.replace(""US"", ""CAN"").replace(""CAN"", _arg_0).Length() % (_arg_0.Length() + 1)))",147,3037523
11604909.sl,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",29,255741,Success,"_arg_0.Substr((_arg_0.IndexOf(""."") + -1),((1 + 1) + _arg_0.IndexOf(""."")))",27,255741
17212077.sl,Success,"concat(concat(concat(0.IntToStr(), _arg_0.CharAt(1)), ""/""), _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))",101,1250603,Success,"concat(concat(concat(0.IntToStr(), _arg_0.CharAt(1)), ""/""), _arg_0.Substr(_arg_0.IndexOf((1 + 1).IntToStr()),_arg_0.Length()))",92,1250603
2171308.sl,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",5,7287,Success,"_arg_0.replace(_arg_0.Substr(1,_arg_0.IndexOf("" "")), """")",7,7287
25239569.sl,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",20,157659,Success,"_arg_0.replace(""DRS"", ""Direct Response"").replace(""BRD"", ""Branding"").replace(""LDS"", ""Leads"")",20,157659
28627624_1.sl,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",2,2859,Success,"_arg_0.Substr(0,(_arg_0.IndexOf(""-"") + -1))",2,2859
30732554.sl,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",35,211524,Success,"(if_arg_0.Contain("" "") then _arg_0.Substr(0,_arg_0.replace(""|"", _arg_0).IndexOf(_arg_0)) else _arg_0)",36,211524
31753108.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",486,18514316,Success,"_arg_0.Substr((_arg_0.IndexOf("" "",5) + 1),_arg_0.IndexOf("" "",(4 * 4)))",475,18514316
33619752.sl,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",7836,147006723,Success,"_arg_0.Substr(0,concat(_arg_0, "" "").IndexOf("" "",(""Company"".Length() + 1)))",7377,147006723
34801680.sl,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",8,14447,Success,"_arg_0.Substr((_arg_0.IndexOf("" "") + 1),_arg_0.Length())",7,14447
35016216.sl,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2437,Success,"_arg_0.replace(_arg_0.lower(), _arg_1)",1,2437
35744094.sl,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",26,148910,Success,"(if_arg_0.Contain(""windows"") then ""windows"" else (if""/"".SuffixOf(_arg_0) then ""microsoft"" else ""mac""))",24,148910
36462127.sl,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",26,116212,Success,"_arg_0.Substr((-1 - (_arg_0.IndexOf(""/"") + 1)),_arg_0.Length()).replace(""/"", """")",24,116212
37534494.sl,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2,4835,Success,(if_arg_0.Contain(_arg_2) then _arg_0 else _arg_1),2,4835
